year,quarter,category_code,category_name,vendor,stuks,opp_ha
2018,Q2,200,200 - PAPRIKA GROEN,G4903 - COÖPERATIE HOOGSTRATEN,3520,
2013,Q1,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2013,Q2,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2013,Q3,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2013,Q4,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2014,Q1,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2014,Q2,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2014,Q3,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2014,Q4,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2015,Q1,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2015,Q2,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2015,Q3,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2015,Q4,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2016,Q1,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2016,Q2,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2016,Q3,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2016,Q4,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2017,Q1,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2017,Q2,198,198 - PAPRIKA DIV.,P  17 - GROBAR,6908,24.0066
2017,Q3,198,198 - PAPRIKA DIV.,P  17 - GROBAR,3414,24.0066
2017,Q4,198,198 - PAPRIKA DIV.,P  17 - GROBAR,2578,24.0066
2018,Q1,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2018,Q2,198,198 - PAPRIKA DIV.,P  17 - GROBAR,2250,24.0066
2018,Q3,198,198 - PAPRIKA DIV.,P  17 - GROBAR,2378,24.0066
2018,Q4,198,198 - PAPRIKA DIV.,P  17 - GROBAR,752,24.0066
2019,Q1,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2019,Q2,198,198 - PAPRIKA DIV.,P  17 - GROBAR,2340,24.0066
2019,Q3,198,198 - PAPRIKA DIV.,P  17 - GROBAR,2380,24.0066
2019,Q4,198,198 - PAPRIKA DIV.,P  17 - GROBAR,648,24.0066
2020,Q1,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2020,Q2,198,198 - PAPRIKA DIV.,P  17 - GROBAR,1736,24.0066
2020,Q3,198,198 - PAPRIKA DIV.,P  17 - GROBAR,2008,24.0066
2020,Q4,198,198 - PAPRIKA DIV.,P  17 - GROBAR,152,24.0066
2021,Q1,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2021,Q2,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2021,Q3,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2021,Q4,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2022,Q1,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2022,Q2,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2022,Q3,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2022,Q4,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2023,Q1,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2023,Q2,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2023,Q3,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2023,Q4,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2024,Q1,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2024,Q2,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2024,Q3,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2024,Q4,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2025,Q1,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2025,Q2,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2025,Q3,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2025,Q4,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2026,Q1,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2026,Q2,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2026,Q3,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2026,Q4,198,198 - PAPRIKA DIV.,P  17 - GROBAR,0,24.0066
2013,Q1,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2013,Q2,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2013,Q3,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2013,Q4,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2014,Q1,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2014,Q2,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2014,Q3,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2014,Q4,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2015,Q1,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2015,Q2,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2015,Q3,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2015,Q4,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2016,Q1,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2016,Q2,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2016,Q3,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2016,Q4,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2017,Q1,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2017,Q2,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2017,Q3,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2017,Q4,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2018,Q1,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2018,Q2,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2018,Q3,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2018,Q4,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2019,Q1,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2019,Q2,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2019,Q3,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2019,Q4,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2020,Q1,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2020,Q2,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2020,Q3,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2020,Q4,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2021,Q1,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2021,Q2,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2021,Q3,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2021,Q4,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2022,Q1,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2022,Q2,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2022,Q3,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2022,Q4,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2023,Q1,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2023,Q2,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
2023,Q3,200,200 - PAPRIKA GROEN,P  17 - GROBAR,0,24.0066
