year,quarter,period,category_code,category_name,vendor,opp_ha,q_num,is_peak_season,vendor_enc,category_name_enc,stuks_lag1,stuks_lag2,stuks_lag4,yield_ha_lag1,yield_ha_lag2,yield_ha_lag4,stuks_roll4_mean,stuks_roll4_std,temp_mean_c,temp_max_c,precip_mm,sun_hours,gdd,frost_days,temp_mean_c_lag1,precip_mm_lag1,gdd_lag1,sun_hours_lag1,stuks,cat_total_stuks
2018,Q2,21,200,200 - PAPRIKA GROEN,G4903 - COÖPERATIE HOOGSTRATEN,,2,1,0,1,,,,,,,,,15.442857142857145,20.194505494505496,111.5,940.2969333333332,506.0,0.0,4.09,205.4,5.6,467.1254166666666,3520,796970
2013,Q1,0,198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,1,0,1,0,,,,,,,,,2.082222222222222,4.99,141.9,432.17273611111113,2.0,51.0,,,,,0,0
2013,Q2,1,198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,2,1,1,0,0.0,,,0.0,,,,,11.928571428571429,16.045054945054943,175.9,837.70635,263.2,6.0,2.082222222222222,141.9,2.0,432.17273611111113,0,0
2013,Q3,2,198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,3,1,1,0,0.0,0.0,,0.0,0.0,,0.0,0.0,18.15869565217391,22.30760869565217,133.6,947.5061305555556,750.6,0.0,11.928571428571429,175.9,263.2,837.70635,0,0
2013,Q4,3,198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,4,0,1,0,0.0,0.0,,0.0,0.0,,0.0,0.0,8.493478260869566,11.160869565217393,254.0,434.0985166666667,110.4,4.0,18.15869565217391,133.6,750.6,947.5061305555556,0,0
2014,Q1,4,198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.014444444444444,10.502222222222224,149.9,546.1595611111111,16.699999999999996,6.0,8.493478260869566,254.0,110.4,434.0985166666667,0,0
2014,Q2,5,198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.143956043956043,18.35934065934066,191.0,1015.43105,385.0,0.0,7.014444444444444,149.9,16.699999999999996,546.1595611111111,0,0
2014,Q3,6,198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,3,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.33913043478261,21.12391304347826,280.6,898.2351861111111,675.2,0.0,14.143956043956043,191.0,385.0,1015.43105,0,0
2014,Q4,7,198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,4,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.083695652173914,11.730434782608697,202.0,457.27839166666666,135.6,6.0,17.33913043478261,280.6,675.2,898.2351861111111,0,0
2015,Q1,8,198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.455555555555556,7.752222222222223,193.0,534.4068777777778,0.5,30.0,9.083695652173914,202.0,135.6,457.27839166666666,0,0
2015,Q2,9,198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.952747252747251,17.54175824175824,139.2,1010.4236083333332,311.0,3.0,4.455555555555556,193.0,0.5,534.4068777777778,0,0
2015,Q3,10,198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,3,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.60326086956522,21.789130434782606,211.5,898.4389194444444,699.5,0.0,12.952747252747251,139.2,311.0,1010.4236083333332,0,0
2015,Q4,11,198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,4,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.092391304347826,12.759782608695652,149.5,423.41936111111113,122.8,1.0,17.60326086956522,211.5,699.5,898.4389194444444,0,0
2016,Q1,12,198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.09010989010989,8.123076923076924,254.2,484.5166638888889,2.900000000000002,28.0,10.092391304347826,149.5,122.8,423.41936111111113,0,0
2016,Q2,13,198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.463736263736264,17.560439560439562,257.7,937.8138944444444,367.4,0.0,5.09010989010989,254.2,2.900000000000002,484.5166638888889,0,0
2016,Q3,14,198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,3,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.68695652173913,22.907608695652176,132.2,992.6607055555556,799.2,0.0,13.463736263736264,257.7,367.4,937.8138944444444,0,0
2016,Q4,15,198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,4,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.35,10.197826086956525,130.4,477.56509166666666,47.6,12.0,18.68695652173913,132.2,799.2,992.6607055555556,0,0
2017,Q1,16,198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.394444444444445,8.742222222222221,168.4,487.94728888888886,19.300000000000004,27.0,7.35,130.4,47.6,477.56509166666666,0,0
2017,Q2,17,198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.43846153846154,18.963736263736266,123.5,941.1821083333332,454.4,1.0,5.394444444444445,168.4,19.300000000000004,487.94728888888886,6908,6908
2017,Q3,18,198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,3,1,1,0,6908.0,0.0,0.0,287.75420092807815,0.0,0.0,1727.0,3454.0,17.104347826086954,21.093478260869563,213.7,866.7688805555556,653.6,0.0,14.43846153846154,123.5,454.4,941.1821083333332,3414,3414
2017,Q4,19,198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,4,0,1,0,3414.0,6908.0,0.0,142.2108920046987,287.75420092807815,0.0,2580.5,3303.5303843010133,8.555434782608696,11.066304347826089,196.8,388.1983611111111,128.0,7.0,17.104347826086954,213.7,653.6,866.7688805555556,2578,2578
2018,Q1,20,198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,1,0,1,0,2578.0,3414.0,0.0,107.38713520448543,142.2108920046987,0.0,3225.0,2853.0360437026848,4.09,7.369999999999999,205.4,467.1254166666666,5.6,30.0,8.555434782608696,196.8,128.0,388.1983611111111,0,0
2018,Q2,21,198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,2,1,1,0,0.0,2578.0,6908.0,0.0,107.38713520448543,287.75420092807815,3225.0,2853.0360437026848,15.442857142857145,20.194505494505496,111.5,940.2969333333332,506.0,0.0,4.09,205.4,5.6,467.1254166666666,2250,2250
2018,Q3,22,198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,3,1,1,0,2250.0,0.0,3414.0,93.72422583789458,0.0,142.2108920046987,2060.5,1458.4625466565808,19.065217391304348,23.90652173913044,134.7,1023.2681361111112,834.8,0.0,15.442857142857145,111.5,506.0,940.2969333333332,2378,2378
2018,Q4,23,198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,4,0,1,0,2378.0,2250.0,2578.0,99.0560929077837,93.72422583789458,107.38713520448543,1801.5,1208.5609900483573,8.785869565217391,11.968478260869563,174.4,481.56843888888886,126.4,8.0,19.065217391304348,134.7,834.8,1023.2681361111112,752,752
2019,Q1,24,198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,1,0,1,0,752.0,2378.0,0.0,31.324719035598545,99.0560929077837,0.0,1345.0,1161.4341708996394,5.914444444444444,9.307777777777778,186.6,482.29725,4.1,15.0,8.785869565217391,174.4,126.4,481.56843888888886,0,0
2019,Q2,25,198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,2,1,1,0,0.0,752.0,2250.0,0.0,31.324719035598545,93.72422583789458,1345.0,1161.4341708996394,13.663736263736263,18.392307692307693,177.8,971.6094138888888,384.3,2.0,5.914444444444444,186.6,4.1,482.29725,2340,2340
2019,Q3,26,198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,3,1,1,0,2340.0,0.0,2378.0,97.47319487141037,0.0,99.0560929077837,1367.5,1185.4342382997602,18.143478260869564,22.65217391304348,159.7,972.6194694444443,749.2,0.0,13.663736263736263,177.8,384.3,971.6094138888888,2380,2380
