category_code,category_name,vendor,opp_ha,predicted_stuks
200,200 - PAPRIKA GROEN,G4903 - COÖPERATIE HOOGSTRATEN,,1130198
198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,199
200,200 - PAPRIKA GROEN,P  17 - GROBAR,24.0066,199
201,201 - PAPRIKA ROOD,P  17 - GROBAR,24.0066,357
202,202 - PAPRIKA GEEL,P  17 - GROBAR,24.0066,273
203,203 - PAPRIKA ORANJE,P  17 - GROBAR,24.0066,0
204,204 - PAPRIKA PAARS,P  17 - GROBAR,24.0066,0
205,205 - PAPRIKA WIT,P  17 - GROBAR,24.0066,0
206,206 - PAPRIKA MUNT,P  17 - GROBAR,24.0066,0
207,207 - PAPRIKA LILA,P  17 - GROBAR,24.0066,0
208,208 - PAPRIKA BRUIN,P  17 - GROBAR,24.0066,0
209,209 - PAPRIKA MIX,P  17 - GROBAR,24.0066,0
210,210 - MINI-PAPRIKA,P  17 - GROBAR,24.0066,54506
217,217 - PUNTPAPRIKA,P  17 - GROBAR,24.0066,745989
219,219 - PEPERS,P  17 - GROBAR,,212638
198,198 - PAPRIKA DIV.,P  22 - VERCAMMEN HUGO,1.48,124
200,200 - PAPRIKA GROEN,P  22 - VERCAMMEN HUGO,1.48,8922
201,201 - PAPRIKA ROOD,P  22 - VERCAMMEN HUGO,1.48,27209
202,202 - PAPRIKA GEEL,P  22 - VERCAMMEN HUGO,1.48,198
203,203 - PAPRIKA ORANJE,P  22 - VERCAMMEN HUGO,1.48,0
204,204 - PAPRIKA PAARS,P  22 - VERCAMMEN HUGO,1.48,0
205,205 - PAPRIKA WIT,P  22 - VERCAMMEN HUGO,1.48,0
206,206 - PAPRIKA MUNT,P  22 - VERCAMMEN HUGO,1.48,0
207,207 - PAPRIKA LILA,P  22 - VERCAMMEN HUGO,1.48,0
208,208 - PAPRIKA BRUIN,P  22 - VERCAMMEN HUGO,1.48,0
209,209 - PAPRIKA MIX,P  22 - VERCAMMEN HUGO,1.48,0
210,210 - MINI-PAPRIKA,P  22 - VERCAMMEN HUGO,1.48,0
217,217 - PUNTPAPRIKA,P  22 - VERCAMMEN HUGO,1.48,0
198,198 - PAPRIKA DIV.,P  24 - MARVECO,12.3,173
200,200 - PAPRIKA GROEN,P  24 - MARVECO,12.3,7994
201,201 - PAPRIKA ROOD,P  24 - MARVECO,12.3,165993
202,202 - PAPRIKA GEEL,P  24 - MARVECO,12.3,248
203,203 - PAPRIKA ORANJE,P  24 - MARVECO,12.3,0
204,204 - PAPRIKA PAARS,P  24 - MARVECO,12.3,0
205,205 - PAPRIKA WIT,P  24 - MARVECO,12.3,0
206,206 - PAPRIKA MUNT,P  24 - MARVECO,12.3,0
207,207 - PAPRIKA LILA,P  24 - MARVECO,12.3,0
208,208 - PAPRIKA BRUIN,P  24 - MARVECO,12.3,0
209,209 - PAPRIKA MIX,P  24 - MARVECO,12.3,0
210,210 - MINI-PAPRIKA,P  24 - MARVECO,12.3,0
217,217 - PUNTPAPRIKA,P  24 - MARVECO,12.3,6893
200,200 - PAPRIKA GROEN,P  44 - BARVER,,1329406
201,201 - PAPRIKA ROOD,P  44 - BARVER,,1205874
217,217 - PUNTPAPRIKA,P  44 - BARVER,,995635
219,219 - PEPERS,P  44 - BARVER,,989331
198,198 - PAPRIKA DIV.,P  62 - VDBONA,6.75,173
200,200 - PAPRIKA GROEN,P  62 - VDBONA,6.75,173
201,201 - PAPRIKA ROOD,P  62 - VDBONA,6.75,332
202,202 - PAPRIKA GEEL,P  62 - VDBONA,6.75,248
203,203 - PAPRIKA ORANJE,P  62 - VDBONA,6.75,0
204,204 - PAPRIKA PAARS,P  62 - VDBONA,6.75,0
205,205 - PAPRIKA WIT,P  62 - VDBONA,6.75,0
206,206 - PAPRIKA MUNT,P  62 - VDBONA,6.75,0
207,207 - PAPRIKA LILA,P  62 - VDBONA,6.75,0
208,208 - PAPRIKA BRUIN,P  62 - VDBONA,6.75,0
209,209 - PAPRIKA MIX,P  62 - VDBONA,6.75,0
210,210 - MINI-PAPRIKA,P  62 - VDBONA,6.75,0
217,217 - PUNTPAPRIKA,P  62 - VDBONA,6.75,54034
198,198 - PAPRIKA DIV.,P 150 - VERENIGDE GROENTETUINDERS,90.0,1311
200,200 - PAPRIKA GROEN,P 150 - VERENIGDE GROENTETUINDERS,90.0,16494
201,201 - PAPRIKA ROOD,P 150 - VERENIGDE GROENTETUINDERS,90.0,1730673
202,202 - PAPRIKA GEEL,P 150 - VERENIGDE GROENTETUINDERS,90.0,445
203,203 - PAPRIKA ORANJE,P 150 - VERENIGDE GROENTETUINDERS,90.0,0
204,204 - PAPRIKA PAARS,P 150 - VERENIGDE GROENTETUINDERS,90.0,0
205,205 - PAPRIKA WIT,P 150 - VERENIGDE GROENTETUINDERS,90.0,0
206,206 - PAPRIKA MUNT,P 150 - VERENIGDE GROENTETUINDERS,90.0,0
207,207 - PAPRIKA LILA,P 150 - VERENIGDE GROENTETUINDERS,90.0,0
208,208 - PAPRIKA BRUIN,P 150 - VERENIGDE GROENTETUINDERS,90.0,0
209,209 - PAPRIKA MIX,P 150 - VERENIGDE GROENTETUINDERS,90.0,0
210,210 - MINI-PAPRIKA,P 150 - VERENIGDE GROENTETUINDERS,90.0,0
217,217 - PUNTPAPRIKA,P 150 - VERENIGDE GROENTETUINDERS,90.0,2975
198,198 - PAPRIKA DIV.,P 184 - SUPRA-NATURA,1.06,124
200,200 - PAPRIKA GROEN,P 184 - SUPRA-NATURA,1.06,249
201,201 - PAPRIKA ROOD,P 184 - SUPRA-NATURA,1.06,775
202,202 - PAPRIKA GEEL,P 184 - SUPRA-NATURA,1.06,372
203,203 - PAPRIKA ORANJE,P 184 - SUPRA-NATURA,1.06,0
204,204 - PAPRIKA PAARS,P 184 - SUPRA-NATURA,1.06,0
205,205 - PAPRIKA WIT,P 184 - SUPRA-NATURA,1.06,0
206,206 - PAPRIKA MUNT,P 184 - SUPRA-NATURA,1.06,0
207,207 - PAPRIKA LILA,P 184 - SUPRA-NATURA,1.06,0
208,208 - PAPRIKA BRUIN,P 184 - SUPRA-NATURA,1.06,0
209,209 - PAPRIKA MIX,P 184 - SUPRA-NATURA,1.06,0
210,210 - MINI-PAPRIKA,P 184 - SUPRA-NATURA,1.06,0
217,217 - PUNTPAPRIKA,P 184 - SUPRA-NATURA,1.06,0
219,219 - PEPERS,P 184 - SUPRA-NATURA,,982360
198,198 - PAPRIKA DIV.,P 200 - VGT ZEEUWS-VLAANDEREN,180.0,1567
200,200 - PAPRIKA GROEN,P 200 - VGT ZEEUWS-VLAANDEREN,180.0,186360
201,201 - PAPRIKA ROOD,P 200 - VGT ZEEUWS-VLAANDEREN,180.0,1627403
202,202 - PAPRIKA GEEL,P 200 - VGT ZEEUWS-VLAANDEREN,180.0,1750901
203,203 - PAPRIKA ORANJE,P 200 - VGT ZEEUWS-VLAANDEREN,180.0,2
204,204 - PAPRIKA PAARS,P 200 - VGT ZEEUWS-VLAANDEREN,180.0,2
205,205 - PAPRIKA WIT,P 200 - VGT ZEEUWS-VLAANDEREN,180.0,2
206,206 - PAPRIKA MUNT,P 200 - VGT ZEEUWS-VLAANDEREN,180.0,2
207,207 - PAPRIKA LILA,P 200 - VGT ZEEUWS-VLAANDEREN,180.0,2
208,208 - PAPRIKA BRUIN,P 200 - VGT ZEEUWS-VLAANDEREN,180.0,2
209,209 - PAPRIKA MIX,P 200 - VGT ZEEUWS-VLAANDEREN,180.0,2
210,210 - MINI-PAPRIKA,P 200 - VGT ZEEUWS-VLAANDEREN,180.0,2
217,217 - PUNTPAPRIKA,P 200 - VGT ZEEUWS-VLAANDEREN,180.0,2979
206,206 - PAPRIKA MUNT,P 320 - DE SAEGER JOHAN,,1304590
198,198 - PAPRIKA DIV.,P 528 - DE SWERT MARC,0.62,124
