year,week,total_kg
2016,2,1172.0
2016,3,1854.95
2016,4,1493.5
2016,5,1574.0
2016,6,1579.5
2016,7,1476.0
2016,8,1767.5
2016,9,2476.0
2016,10,2740.25
2016,11,39522.25
2016,12,167173.75
2016,13,313085.5
2016,14,179159.5
2016,15,325034.2
2016,16,371964.2
2016,17,478415.4
2016,18,479532.15
2016,19,622629.9
2016,20,592895.6
2016,21,561389.7
2016,22,663164.75
2016,23,684856.1
2016,24,641084.55
2016,25,594722.35
2016,26,705225.0
2016,27,609163.4
2016,28,500235.05
2016,29,522494.0
2016,30,363024.2
2016,31,750205.8
2016,32,985985.3
2016,33,596533.7
2016,34,464872.2
2016,35,622693.1
2016,36,619949.8
2016,37,627001.3
2016,38,518196.8
2016,39,455458.4
2016,40,526240.4
2016,41,574547.8
2016,42,475318.9
2016,43,473078.1
2016,44,543207.9
2016,45,240417.5
2016,46,160554.8
2016,47,62776.3
2016,48,27709.4
2016,49,15338.9
2016,50,4828.7
2016,51,1964.5
2016,52,2720.0
2016,53,1584.0
2017,1,1704.0
2017,2,2799.5
2017,3,3030.0
2017,4,2877.5
2017,5,2347.0
2017,6,2200.5
2017,7,2162.0
2017,8,2610.0
2017,9,1378.0
2017,10,17319.5
2017,11,57817.0
2017,12,411702.5
2017,13,287039.5
2017,14,197654.3
2017,15,178015.3
2017,16,390263.6
2017,17,636906.1
2017,18,912146.8
2017,19,937020.3
2017,20,1078945.8
2017,21,896700.86
2017,22,774873.96
2017,23,615712.06
2017,24,744830.72
2017,25,837305.32
2017,26,879605.06
2017,27,927504.82
2017,28,781077.94
2017,29,755738.18
2017,30,701718.6
2017,31,785163.72
2017,32,895199.4
2017,33,714587.42
2017,34,625893.62
2017,35,701018.74
2017,36,780559.04
2017,37,678889.16
2017,38,611450.96
2017,39,563887.5
2017,40,570493.72
2017,41,677227.06
2017,42,838304.62
2017,43,856135.1
2017,44,233105.16
2017,45,119775.92
2017,46,80564.1
2017,47,28766.6
2017,48,23534.5
2017,49,29323.5
2017,50,3182.0
2017,51,2163.0
2017,52,1628.0
2018,1,1046.0
2018,2,2132.0
2018,3,3154.0
2018,4,2285.0
2018,5,1933.0
2018,6,2341.5
2018,7,2411.0
2018,8,2647.0
2018,9,2180.0
2018,10,9611.0
2018,11,66696.5
2018,12,245391.5
2018,13,385087.5
2018,14,328963.0
2018,15,371111.0
2018,16,526300.4
2018,17,601436.69
2018,18,604841.93
2018,19,574157.39
2018,20,919945.02
2018,21,875949.85
2018,22,724546.05
2018,23,672372.91
2018,24,838318.84
2018,25,818862.59
2018,26,863927.62
2018,27,757566.87
2018,28,808853.02
2018,29,629030.47
2018,30,710532.95
2018,31,948035.99
2018,32,880189.36
2018,33,962217.19
2018,34,929002.79
2018,35,658827.17
2018,36,451422.14
2018,37,610482.73
2018,38,637443.2
2018,39,769435.04
2018,40,667472.46
2018,41,607967.06
2018,42,772442.14
2018,43,639355.7
2018,44,194695.24
2018,45,63982.86
2018,46,59545.0
2018,47,40758.84
2018,48,20386.6
2018,49,15097.94
2018,50,4598.92
2018,51,-506.0
2018,52,2047.0
2018,53,456.0
2019,1,986.0
2019,2,2295.0
2019,3,2864.0
2019,4,2656.0
2019,5,2340.0
2019,6,2709.5
2019,7,2970.0
2019,8,5881.0
2019,9,13439.0
2019,10,19125.0
2019,11,15353.0
2019,12,229905.5
2019,13,271425.5
2019,14,160857.0
2019,15,236257.6
2019,16,616190.5
2019,17,630411.56
2019,18,422937.86
2019,19,784211.44
2019,20,1305633.4
2019,21,778518.84
2019,22,452715.38
2019,23,630004.54
2019,24,922574.58
2019,25,782146.56
2019,26,561466.36
2019,27,895180.94
2019,28,1027218.74
2019,29,691958.82
2019,30,372508.8
2019,31,444640.94
2019,32,982748.04
2019,33,1062366.14
2019,34,784378.48
2019,35,504035.78
2019,36,459778.42
2019,37,531612.1
2019,38,482201.36
2019,39,633472.72
2019,40,821458.4
2019,41,553015.0
2019,42,595420.2
2019,43,493335.82
2019,44,120426.06
2019,45,79016.36
2019,46,15943.64
2019,47,13509.08
2019,48,6010.38
2019,49,1266.48
